source,target,year,weight
115,312,2003,0
115,312,2004,0
115,312,2005,0
115,312,2006,0
115,312,2007,0
115,312,2008,0
115,312,2009,1
115,312,2010,0
115,312,2011,0
115,312,2012,0
115,312,2013,0
115,312,2014,0
115,325,2000,0
115,325,2001,0
115,325,2002,1
115,325,2003,0
115,325,2004,0
115,325,2005,1
115,325,2006,0
115,325,2007,0
115,325,2008,0
115,325,2009,1
115,325,2010,0
115,325,2011,0
115,325,2012,0
115,325,2013,0
115,325,2014,0
115,334,2000,0
115,334,2001,0
115,334,2002,0
115,334,2003,0
115,334,2004,0
115,334,2005,1
115,334,2006,2
115,334,2007,0
115,334,2008,0
115,334,2009,0
115,334,2010,0
115,334,2011,0
115,334,2012,0
115,334,2013,0
115,334,2014,0
115,335,2000,0
115,335,2001,0
115,335,2002,0
115,335,2003,0
115,335,2004,0
115,335,2005,0
115,335,2006,0
115,335,2007,0
115,335,2008,0
115,335,2009,0
115,335,2010,0
115,335,2011,0
115,335,2012,1
115,335,2013,0
115,335,2014,0
115,339,2000,0
115,339,2001,0
115,339,2002,0
115,339,2003,0
115,339,2004,0
115,339,2005,0
115,339,2006,0
115,339,2007,0
115,339,2008,1
115,339,2009,0
115,339,2010,0
115,339,2011,0
115,339,2012,0
115,339,2013,0
115,339,2014,0
115,424,2000,0
115,424,2001,1
115,424,2002,0
115,424,2003,0
115,424,2004,0
115,424,2005,0
115,424,2006,0
115,424,2007,0
115,424,2008,0
115,424,2009,0
115,424,2010,0
115,424,2011,0
115,424,2012,0
115,424,2013,0
115,424,2014,1
115,488,2000,0
115,488,2001,0
115,488,2002,0
115,488,2003,0
115,488,2004,0
115,488,2005,0
115,488,2006,0
115,488,2007,0
115,488,2008,0
115,488,2009,0
115,488,2010,0
115,488,2011,0
115,488,2012,1
115,488,2013,0
115,488,2014,0
115,493,2000,1
115,493,2001,0
115,493,2002,0
115,493,2003,0
115,493,2004,0
115,493,2005,0
115,493,2006,0
115,493,2007,0
115,493,2008,0
115,493,2009,0
115,493,2010,0
115,493,2011,0
115,493,2012,0
115,493,2013,0
115,493,2014,0
115,511,2000,0
115,511,2001,0
115,511,2002,0
115,511,2003,0
115,511,2004,0
115,511,2005,0
115,511,2006,0
115,511,2007,0
115,511,2008,0
115,511,2009,1
115,511,2010,0
115,511,2011,0
115,511,2012,0
115,511,2013,0
115,511,2014,0
115,523,2000,0
115,523,2001,0
115,523,2002,0
115,523,2003,0
115,523,2004,1
115,523,2005,1
115,523,2006,0
115,523,2007,0
115,523,2008,1
115,523,2009,0
115,523,2010,0
115,523,2011,0
115,523,2012,0
115,523,2013,0
115,523,2014,0
115,541,2000,0
115,541,2001,0
115,541,2002,0
115,541,2003,0
115,541,2004,1
115,541,2005,1
115,541,2006,0
115,541,2007,0
115,541,2008,0
115,541,2009,0
115,541,2010,1
115,541,2011,0
115,541,2012,0
115,541,2013,0
115,541,2014,1
115,561,2000,0
115,561,2001,0
115,561,2002,1
115,561,2003,0
115,561,2004,0
115,561,2005,0
115,561,2006,0
115,561,2007,0
115,561,2008,0
115,561,2009,0
115,561,2010,0
115,561,2011,0
115,561,2012,0
115,561,2013,0
115,561,2014,0
115,813,2000,0
115,813,2001,0
115,813,2002,0
115,813,2003,0
115,813,2004,0
115,813,2005,0
115,813,2006,0
115,813,2007,0
115,813,2008,0
115,813,2009,1
115,813,2010,0
115,813,2011,0
115,813,2012,0
115,813,2013,0
115,813,2014,0
211,111,2000,0
211,111,2001,0
211,111,2002,0
211,111,2003,1
211,111,2004,0
211,111,2005,0
211,111,2006,0
211,111,2007,0
211,111,2008,0
211,111,2009,1
211,111,2010,0
211,111,2011,0
211,111,2012,0
211,111,2013,0
211,111,2014,0
211,211,2000,92
211,211,2001,93
211,211,2002,85
211,211,2003,96
211,211,2004,120
211,211,2005,161
211,211,2006,142
211,211,2007,170
211,211,2008,101
211,211,2009,58
211,211,2010,36
211,211,2011,27
211,211,2012,110
211,211,2013,106
211,211,2014,108
211,212,2000,3
211,212,2001,2
211,212,2002,2
211,212,2003,2
211,212,2004,1
211,212,2005,4
211,212,2006,8
211,212,2007,3
211,212,2008,2
211,212,2009,3
